,path,label,features,pca_features
0,s3://p8-data-2023/Test/Watermelon/r_87_100.jpg,Watermelon,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.02950826, 0.06816301, 0.        , ..., 1.1162349 , 0.        ,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-2.45177773e+00,  6.34421791e+00, -5.50238877e+00, -3.62611129e+00,
        8.73694999e+00,  5.56953879e+00,  4.09241902e+00,  3.05262499e-01,
       -1.09611781e+01, -4.10039640e-03, -1.45627530e+00,  9.94981557e-01,
       -2.10829335e+00,  6.88544513e+00,  4.75051542e-01, -6.28613666e-01,
       -5.42856992e+00, -2.21376822e-01, -6.37251414e-01,  5.59884388e+00,
       -4.20413580e-01,  2.88429697e-01,  7.15131415e+00, -5.62204555e-01,
        1.73960288e+00,  2.11207325e+00,  2.52758787e+00, -1.92591184e+00,
        2.61894416e+00,  1.20886941e+00,  3.64780618e+00,  1.44113531e+00,
        2.28373317e+00, -2.82406059e+00, -1.57907329e+00, -3.78505727e+00,
       -1.08386952e+00, -5.38001056e-01, -7.49051114e-01, -3.58570990e+00,
       -1.22103885e-01,  2.79408561e+00, -1.28926995e+00,  1.01437431e+00,
       -3.05305733e+00, -1.38536557e-02,  1.36268101e+00, -1.12140242e+00,
       -7.55951888e-01, -3.43741927e+00])}"
1,s3://p8-data-2023/Test/Watermelon/r_102_100.jpg,Watermelon,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.01487589, 0.27422279, 0.        , ..., 0.67091852, 0.37491727,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-1.87705161e+00,  3.28251416e+00, -6.72908994e+00, -2.64653075e+00,
        8.89056868e+00,  5.28785005e+00,  2.32632791e+00,  5.93163589e-01,
       -9.33936948e+00,  9.99382989e-01, -4.17919813e+00,  8.70043590e-01,
       -1.54764876e+00,  6.30061957e+00,  2.18307956e+00, -7.02174812e-03,
       -3.38970607e+00, -1.09209144e+00, -2.13744510e+00,  6.50234464e+00,
       -4.70667753e-01, -9.78512453e-01,  8.69696986e+00, -2.20105291e-01,
        1.73631271e+00,  2.21679568e+00,  2.61518897e+00, -3.87679022e+00,
        1.71848257e+00, -1.50511318e-01,  2.61917156e+00,  2.19045585e+00,
        2.25677104e+00, -1.97079255e+00, -2.81537503e-02, -2.73798832e+00,
        4.24246032e-01,  3.09332512e-01,  2.46157048e-02, -2.44159755e+00,
        2.73994317e+00,  1.24027496e+00, -2.04562554e+00, -6.26945530e-01,
       -2.12261680e+00, -8.23997449e-01, -1.11343717e+00, -3.01834385e-01,
        4.10296279e-01, -2.67047136e+00])}"
2,s3://p8-data-2023/Test/Pineapple Mini/307_100.jpg,Pineapple Mini,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.        , 5.02340937, 0.        , ..., 0.02273153, 0.04391813,
       0.23449649])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-5.8802616 ,  3.47437732,  1.69293619, -3.76138092, -2.87005406,
        2.73194225,  1.88516142, -1.56921291, -9.3005847 ,  5.39480127,
       -3.7160864 ,  2.51859978,  0.71149581, -6.09441145, -3.44863933,
        1.43018053, -2.0646992 ,  3.03784667,  4.17244178, -0.19411719,
       -1.87841467, -0.01522935,  2.78371396, -2.57264866,  0.02701407,
        6.21345835, -1.11671255, -1.17993343,  1.41936407, -2.37068293,
        2.39327735, -2.20127143,  2.58757727, -3.01321169,  1.18992749,
       -0.84161494, -0.0506781 , -2.38959032, -1.37038424, -1.4375337 ,
        1.99576052,  0.26986222, -4.2776112 ,  0.65460203, -2.38856117,
        0.76733237, -2.34342001, -0.9166444 ,  1.15399326, -0.92236787])}"
3,s3://p8-data-2023/Test/Watermelon/142_100.jpg,Watermelon,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.        , 0.13640745, 0.03135819, ..., 0.        , 0.19396615,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-3.18253668,  4.11451519, -8.14360588, -4.52462848,  4.48958246,
        5.01289948, -2.35190362,  4.3916415 , -7.75635931,  4.2931973 ,
       -4.82863993, -0.09233493, -1.17765692,  3.3687886 ,  3.07898432,
       -0.12925992, -2.34058395,  4.9499253 , -1.06133174, 11.1979266 ,
        0.85298596,  0.45872163,  7.46310556, -1.10408563, -1.34446816,
        1.91507095,  2.10113757, -4.94227979,  0.2592937 ,  0.94154419,
        4.82354106,  2.87451839,  2.4582134 , -3.35356972, -2.5674247 ,
       -3.53130469,  2.22147832, -0.44632912,  0.58091457, -2.1121935 ,
        0.9502394 ,  1.14823929, -2.28673511, -2.10798427,  0.33904773,
       -2.60955886,  1.07263041, -1.64188299,  2.03482527,  0.41182754])}"
4,s3://p8-data-2023/Test/Watermelon/274_100.jpg,Watermelon,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.35576734, 0.25252226, 0.        , ..., 0.00328254, 0.84246486,
       0.28047487])}","{'type': 1, 'size': None, 'indices': None, 'values': array([ -2.53289383,   3.14822205,  -7.53362149,  -4.66508847,
         4.33009417,   6.81224959,  -2.11824427,   3.95114068,
       -10.38770749,   2.69937849,  -4.12788389,  -0.31957812,
        -0.81107338,   6.299566  ,   2.79983514,  -0.72136908,
        -2.09056778,   3.96256476,  -1.0142643 ,  10.82162986,
         0.97721699,   0.82216869,   7.78582956,   0.61903221,
        -1.90617267,   1.96347825,   4.29490277,  -3.73371853,
         0.61440435,   1.04262705,   5.20772569,   2.53264999,
         3.10309839,  -3.01074931,  -1.49145991,  -2.09007043,
         2.94860702,  -1.29280392,   0.74114252,  -1.62076353,
        -0.06287559,   0.84828299,  -2.2579044 ,  -0.68225053,
        -0.34297138,  -2.07421977,  -0.05986603,  -1.30868489,
         2.57263838,   0.26314465])}"
5,s3://p8-data-2023/Test/Cauliflower/r_171_100.jpg,Cauliflower,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.00000000e+00, 6.83716297e-01, 1.99731195e+00, ...,
       0.00000000e+00, 1.44125850e-04, 3.29925418e-02])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-4.24704135,  2.22497401,  0.98922066, -3.00161568, -3.64022982,
        3.80513508, -0.93734254,  1.83034175, -2.13988658,  3.75918762,
       -6.34834004,  2.03201507,  1.36847552, -2.98372821, -0.1583335 ,
        2.17725951, -4.76110523,  1.6812472 , -0.8979855 ,  4.5938135 ,
        1.38699306, -2.8618736 ,  6.0282485 , -2.28288052,  1.1654988 ,
       -3.05508994,  0.50086318, -3.9153032 , -0.18867957, -2.25845771,
        0.89169613,  1.8669875 ,  0.29325404, -2.67417537,  0.39353917,
       -2.99342924,  2.75528615,  1.59219217, -0.75893773,  1.1525398 ,
        0.05350098,  0.15447039, -1.90933664, -0.72834993,  0.99627501,
        0.91916142,  0.23551547, -0.22930275, -0.47878463, -0.37572826])}"
6,s3://p8-data-2023/Test/Cauliflower/r_236_100.jpg,Cauliflower,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.        , 0.32310292, 1.74675989, ..., 0.        , 0.53285253,
       0.1792956 ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-5.94015095,  4.18388168,  1.68172678, -2.33924398, -0.56433899,
        4.45655219, -0.74026758,  2.15086256, -3.85212254,  2.92323484,
       -3.9916443 ,  2.78293415,  3.18265898, -3.36608785,  0.05520962,
        2.09968101, -5.07437781,  2.26348804, -0.52253371,  4.29390074,
        2.65477385,  1.10083619,  4.23184427, -0.68536231,  4.05226156,
       -3.79926337, -2.12032936, -3.42046869,  0.42778257, -0.42059504,
        0.85477529,  0.74398219, -0.6451469 , -5.02342921,  0.79626803,
       -2.72925926,  1.6661429 , -0.84911998, -1.3891082 ,  0.36145473,
        0.21603703,  2.63849178, -0.87904034,  0.26554664, -0.84161184,
        0.22482186, -1.80345185, -0.34569544,  1.05945905,  0.89144276])}"
7,s3://p8-data-2023/Test/Cauliflower/r2_231_100.jpg,Cauliflower,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.        , 0.95338058, 1.52695119, ..., 0.        , 0.13637353,
       0.10888385])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-4.26389772,  3.70200953, -0.77542723, -3.18302609, -4.0310709 ,
        4.46996553, -0.20815774,  3.58139269, -2.73282467,  3.23540816,
       -6.09856076,  2.62499792,  3.84756006, -1.85554093, -0.70760039,
        1.11643366, -4.62709107,  2.69068755, -0.03321337,  3.98955922,
       -0.04903629, -1.55538231,  5.50975046, -1.76302357,  1.96189909,
       -0.87754625, -0.28924296, -3.47236113, -1.34445304, -2.04810163,
        2.5084752 ,  1.53844788, -2.13537441, -3.24398603,  0.47235842,
       -2.81623839,  1.61921736, -1.2968055 , -0.16922315,  1.18130739,
        0.05114529,  0.32937852, -2.52455562, -0.62171884,  0.12496014,
        0.25958593, -1.23180931, -1.42514642, -0.32345847, -0.04492131])}"
8,s3://p8-data-2023/Test/Pineapple/289_100.jpg,Pineapple,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.        , 4.49102926, 0.03798029, ..., 0.        , 0.00898387,
       0.04814741])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-6.11318962,  5.22045723,  0.58488577, -4.0410196 , -3.71200614,
        1.4941044 ,  0.64863595,  0.57718784, -6.32879117,  4.60810422,
       -6.85874438,  1.5939221 ,  1.11403199, -3.69920495, -5.14518458,
        2.39283307, -1.7664399 ,  1.44546365,  4.21265144,  2.49580484,
       -4.93888539, -1.94657747,  6.01522806, -3.23925405, -0.92451156,
        4.9854971 ,  1.025241  ,  0.14624948,  0.84695378, -4.53500077,
        0.45350069, -1.7074152 ,  2.04477584, -1.08884661,  0.1199384 ,
       -0.79141517,  1.45670173, -3.0443466 ,  0.71541268, -2.98270235,
        2.76447359, -1.21579319, -2.8592962 ,  0.93236196, -1.61397807,
        1.53956749, -0.52679255, -1.49345883, -1.34428485,  1.73698011])}"
9,s3://p8-data-2023/Test/Pineapple/253_100.jpg,Pineapple,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.        , 4.22898293, 0.06592953, ..., 0.        , 0.52821511,
       0.05010192])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-5.94832629e+00,  6.09386310e+00, -4.80670006e-03, -4.38971407e+00,
       -4.09361057e+00,  2.10741839e+00, -4.13363766e-01,  5.01466921e-01,
       -7.01174354e+00,  4.99084600e+00, -7.76289352e+00,  1.21435297e+00,
        1.67007472e+00, -3.39274786e+00, -5.73059960e+00,  2.65142358e+00,
       -1.43277342e+00,  1.25829410e+00,  4.39597688e+00,  2.19682377e+00,
       -4.46822643e+00, -2.41025854e+00,  5.08868688e+00, -3.32754695e+00,
       -1.78097360e+00,  5.80207682e+00,  1.48967275e+00, -1.86968694e-01,
       -1.03046101e-01, -4.73101403e+00,  3.09382966e-01, -1.98237827e+00,
        3.08199948e+00, -1.69334684e+00,  2.36779117e-01, -8.17453564e-01,
        2.12995081e+00, -2.11672483e+00,  1.77524879e+00, -2.98922462e+00,
        3.38477184e+00, -2.05701032e+00, -2.43017942e+00,  2.40961729e-01,
       -8.34570021e-01,  9.63535389e-01, -6.99840280e-01, -1.27698758e+00,
       -1.46510963e+00,  1.88810566e+00])}"
